index,dpt_pseudotime
Run4_120703408880541,0.51257753
Run4_120703409056541,0.05970774
Run4_120703409580963,0.35992163
Run4_120703423990708,0.35518482
Run4_120703424252854,0.261457
Run4_120703436053366,0.39964452
Run4_120703436057910,0.73160464
Run4_120703436876077,0.115567595
Run4_120703455025387,0.18604259
Run4_120726911638237,0.23424815
Run4_120726912355038,0.19036663
Run4_120726924974443,0.23909166
Run4_120726924978030,0.15568411
Run4_120726943295348,0.38280255
Run4_120726943845302,0.3019218
Run4_120772961130853,0.14954844
Run4_120772961168292,0.52158535
Run4_120786758780660,0.14231601
Run4_120786786086116,0.08113478
Run4_120786804205803,0.20703566
Run4_120786804401973,0.18681234
Run4_120797898099934,0.25193673
Run4_120797898946870,0.86623156
Run4_120797925428019,0.15290624
Run4_120797944278244,0.6391783
Run4_120797944309486,0.6253993
Run4_120797944462237,0.14351489
Run4_120797944538971,0.44062117
Run4_120797945018284,0.91115254
Run4_120797945084765,0.12490251
Run4_120864497952619,0.39235958
Run4_120864498109163,0.5016824
Run4_121202296155437,0.58816856
Run4_121202296407845,0.47536728
Run4_121202296712412,0.34740895
Run4_121202296875939,0.06020359
Run4_121202311609131,0.32983887
Run4_121202323408629,0.28859314
Run4_121202323971293,0.29085916
Run4_121202324139420,0.33995825
Run4_121276814544302,0.16489187
Run4_121276814768869,0.10209415
Run4_121319782803691,0.14238827
Run4_121338017995180,0.20113072
Run4_121339869292318,0.31419197
Run4_121339869579045,0.025586924
Run4_121339870034742,0.43737307
Run4_121339884197670,0.1400099
Run4_121339897375467,0.16434011
Run4_121339915976030,0.2149259
Run4_121742671661982,0.8968391
Run4_121742672218843,0.15163545
Run4_121742684731182,0.17140691
Run4_121812464876332,0.21849808
Run4_121812465170790,0.9186625
Run4_121812477504803,0.21442252
Run4_121812477659372,0.18942371
Run4_121812478016931,0.64286983
Run4_121812496309539,0.42394105
Run4_121812496627629,0.2062698
Run4_121826140407589,0.13090979
Run4_121826154859894,0.06505279
Run4_121826167679902,0.24677074
Run4_121826168138163,0.15123853
Run4_121826168195803,0.35507718
Run4_121826187070251,0.15817197
Run4_121879156964651,0.068498924
Run4_121896068106075,0.21544401
Run4_121896068373812,0.25497645
Run4_121896095574750,0.31007513
Run4_121896095603508,0.20281939
Run4_121896114436398,0.45952547
Run4_121955406802230,0.17930709
Run4_121955407021878,0.51400214
Run4_121955407285596,0.07093705
Run4_121955419114358,0.13463092
Run4_121955419114862,0.16478975
Run4_121965741528803,0.9712784
Run4_121965753884006,0.23956887
Run4_121965754366373,0.26649013
Run4_121965773241694,0.7150168
Run4_122282776423132,0.109489255
Run4_122282795515302,0.11460211
Run4_122282795519324,0.17820984
Run4_122282795812787,0.18935299
Run4_122282795818213,0.38803136
Run4_122293352294813,0.17424138
Run4_122293366708085,0.12607445
Run4_122293367462116,0.17036395
Run4_122293367564598,0.5717384
Run4_122293398198509,0.23693796
Run4_122293399013212,0.2210796
Run4_122308384450908,0.2679879
Run4_122308399066019,0.20984438
Run4_122308412463406,0.6129347
Run4_122308430620398,0.16836777
Run4_122310412323676,0.3919786
Run4_122310412626206,0.24765591
Run4_122310424910766,0.1829725
Run4_122310444373789,0.036837377
Run4_122428778498790,0.31992093
Run4_122428793175326,0.6137425
Run4_122428793187699,0.20192935
Run4_122428823883116,0.14903997
Run4_122428824140061,0.041424606
Run4_122428824599908,0.4625884
Run4_122436428412653,0.042967673
Run4_122436428609325,0.6279091
Run4_122436443094253,0.018738106
Run4_122436443330286,0.30256864
